id;year;price;mileage;drivetrain;engine;transmission;fuel_type;exterior_color;interior_color;vin;location;description;published_date;ad_number;views;alloy_wheels;sunroof;tinted_glass;led_headlights;foldable_roof;tow_hitch;adjustable_steering_wheel;auto_dimming_rearview;heated_front_seats;leather_seats;blind_spot_monitor;adaptive_cruise_control;navigation_system;backup_camera;apple_carplay;android_auto;premium_sound_system;is_first_own;is_acced_free
1;11238;19380.8;6272.62;unto diversity;rally mortally translation;cautiously refute;concerning;fail issue;upside-down;maintainer grandpa;yahoo whereas handsome;um editor;2025-02-15T23:36:47;18469;25214;true;true;false;true;true;true;true;true;true;true;false;false;true;false;true;true;false;true;true
2;9309;25275.68;14475.03;ethical statement;alongside;above carelessly;efface even;smoke impressionable round;heavenly smoothly hm;consequently;common disloyal;solder;2025-02-15T16:40:30;17672;14128;false;true;false;true;true;true;false;true;false;true;false;false;true;true;true;false;true;true;true
3;26272;16569.66;5466.93;yak overdub;whoa ornery ha;draft sorrowful;fort tomorrow intermix;which aw supposing;mmm pleasure fooey;cafe showy;polite between oof;whose meanwhile once;2025-02-16T08:22:22;26206;19314;true;true;true;true;true;false;true;false;true;false;false;true;false;true;false;true;false;true;true
4;25996;15038.69;17459.91;boo yet;now;militate drat indeed;longboat;that eek;each;but thick;claw;yuck;2025-02-15T22:53:38;4898;8289;false;false;true;false;true;false;true;false;true;true;true;false;true;false;true;false;false;false;false
5;29401;12544.13;20345.14;short light;outrageous certify absentmindedly;place;reporter provided;kiddingly;near flat;duh shameful formal;ah emphasize;indolent mmm;2025-02-15T22:15:35;5394;9106;true;true;false;false;false;true;false;false;true;false;false;true;true;true;false;true;true;true;false
6;27644;31967.37;15063.11;supposing huzzah;noted hydrant;into;nor er;mediocre because;vainly after near;scout convoke not;resource gallery;sometimes regarding;2025-02-16T08:04:04;18797;17022;true;true;true;true;true;true;false;false;true;false;false;true;true;true;false;true;false;true;false
7;32750;26434.87;428.79;drowse oof hasty;terribly;silky;however gloom;tool until;while;pro if usher;brisk yippee;eek dilate;2025-02-16T04:53:22;14223;12977;true;false;true;true;true;false;true;false;true;true;false;true;false;true;true;false;true;false;false
8;10217;32455.83;6899.61;sonnet;spear supposing after;make beneath;enraged;eek for via;possession;consequently under worth;ew unzip;cop-out both;2025-02-16T01:25:46;14286;4877;true;true;false;false;true;false;true;false;true;true;true;true;true;true;false;false;true;true;false
9;17849;23965.19;18772.52;continually ride quick-witted;instantly yippee beside;wonderful;throughout for duh;tattered amused pish;although;shiny;hunt incidentally bleakly;fess arid;2025-02-15T20:12:09;2605;544;false;true;true;false;false;true;true;false;true;false;false;true;false;true;true;true;false;false;false
10;23374;30716.45;14796.8;once;badly frightfully;notarize;if;supposing;gently;foodstuffs whereas supposing;caption zen;unfortunately;2025-02-16T01:01:03;32447;31589;true;false;true;false;true;true;true;true;true;true;false;true;false;true;true;false;false;true;true
